Study.reference,Study_ID,Name.of.study.area,Region,Intertidal_Subtidal,Depth (m),SBT (deg C),POC (g Corg m-2 yr-1),PP (mg C m-2 d-1),Habitat description from paper,Habitat type,Folk_category,Biogenic (%),Gravel (%),Sand (%),Mud (%),Fishing gear description from paper,Gear.type,PD (cm),f,Smin (m),Area of one disturbed plot (m2),FishHist,Metric,Macrofauna / Meiofauna,Gear used to sample the benthos ,Infauna / Epifauna,Scavenger.effect,Time,Method,Mean_BefCtrl,SD_BefCtrl,n_BefCtrl,Mean_BefImpt,SD_BefImpt,n_BefImpt,Mean_AftCtrl,SD_AftCtrl,n_AftCtrl,Mean_AftImpt,SD_AftImpt,n_AftImpt,Author,Year,notes
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.2,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,15,25.23,2000,Undisturbed,Biomass,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,7,BACI,0.14,0.09,3,0.09,0.09,3,0.13,0.07,3,0.07,0.06,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.2,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,15,25.23,2000,Undisturbed,Biomass,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,14,BACI,0.14,0.09,3,0.09,0.09,3,0.15,0.1,3,0.07,0.07,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.2,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,15,25.23,2000,Undisturbed,Biomass,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,30,BACI,0.14,0.09,3,0.09,0.09,3,0.11,0.08,3,0.07,0.07,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.2,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,15,25.23,2000,Undisturbed,Biomass,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,120,BACI,0.14,0.09,3,0.09,0.09,3,0.07,0.09,3,0.06,0.06,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.2,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,15,25.23,2000,Undisturbed,Species richness,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,0.08,BACI,33.12,4.51,3,40.22,4.3,3,32.47,4.95,3,23.66,8.6,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.2,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,15,25.23,2000,Undisturbed,Species richness,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,1,BACI,33.12,4.51,3,40.22,4.3,3,40.43,6.24,3,21.51,15.91,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.2,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,15,25.23,2000,Undisturbed,Species richness,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,2,BACI,33.12,4.51,3,40.22,4.3,3,38.92,4.09,3,13.55,4.94,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.2,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,15,25.23,2000,Undisturbed,Species richness,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,3,BACI,33.12,4.51,3,40.22,4.3,3,36.13,6.67,3,27.74,4.73,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.2,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,15,25.23,2000,Undisturbed,Species richness,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,7,BACI,33.12,4.51,3,40.22,4.3,3,39.35,6.24,3,34.41,4.3,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.2,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,15,25.23,2000,Undisturbed,Species richness,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,14,BACI,33.12,4.51,3,40.22,4.3,3,45.16,6.02,3,38.71,3.66,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.2,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,15,25.23,2000,Undisturbed,Species richness,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,30,BACI,33.12,4.51,3,40.22,4.3,3,36.13,5.38,3,41.51,7.31,3,Carvalho,2011,
"Carvalho, S., Constantino, R., Pereira, F., Ben-Hamadou, R. & Gaspar, M.B. 2011. Relationship between razor clam fishing intensity and potential changes in associated benthic communities. Jouranl of Shellfishh Research 30 (2):309-323",10.2,"Lagos, southern Portugal",Southern Europe,S,9,14.93,41.23,2181.84,"Homogeneous fine-sand sediment. sand fraction (ranging from 85.8–99.9% by weight); the silt/clay fraction was always less than 0.01%. According to the phi values determined (range, –0.14–2.59) sediment in all samples but one were classified as fine-sand sediment. The exception occurred in the sample collected at a 10-mdepth in the western part of Lagos, which was comprised of 14% gravel and therefore was classified as very coarse sand. In general, the organic content of the sediment was extremely low (<0.5%). Based on these results, the selected experimental areas consisted of homogeneous fine-sand sediment.",S,S,0,0,99.9,0.01,Portuguese small razor clam dredge,TD,5.47,15,25.23,2000,Undisturbed,Species richness,Macrofauna,"Macrobenthic plastic core tubes (9cm diameter, 20cm deep, 0.006m2)",infauna,n,120,BACI,33.12,4.51,3,40.22,4.3,3,21.72,4.09,3,25.59,4.73,3,Carvalho,2011,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.1,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,clean sand (CS: < 3% silt and clay),S,S,0,0,98.14,1.86,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,15,CI,NA,NA,NA,NA,NA,NA,159.11,85.2,4,86.28,33.98,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.1,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,clean sand (CS: < 3% silt and clay),S,S,0,0,98.14,1.86,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,35,CI,NA,NA,NA,NA,NA,NA,120.12,47.55,4,112.89,56.08,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.1,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,clean sand (CS: < 3% silt and clay),S,S,0,0,98.14,1.86,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,63,CI,NA,NA,NA,NA,NA,NA,189.81,112.94,4,135.55,57.77,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.1,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,clean sand (CS: < 3% silt and clay),S,S,0,0,98.14,1.86,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,105,CI,NA,NA,NA,NA,NA,NA,119.57,33.68,4,59.91,20.39,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.1,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,clean sand (CS: < 3% silt and clay),S,S,0,0,98.14,1.86,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,213,CI,NA,NA,NA,NA,NA,NA,72.14,11.89,4,60.16,15.29,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.2,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,silty sand (SS: 5–20% silt and clay),S,mS,0,0,84.25,15.75,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,15,CI,NA,NA,NA,NA,NA,NA,534.41,317.28,4,97.17,55.81,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.2,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,silty sand (SS: 5–20% silt and clay),S,mS,0,0,84.25,15.75,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,35,CI,NA,NA,NA,NA,NA,NA,374.09,272.66,4,72.87,47.23,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.2,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,silty sand (SS: 5–20% silt and clay),S,mS,0,0,84.25,15.75,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,63,CI,NA,NA,NA,NA,NA,NA,325.51,208.21,4,97.17,60.11,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.2,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,silty sand (SS: 5–20% silt and clay),S,mS,0,0,84.25,15.75,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,105,CI,NA,NA,NA,NA,NA,NA,442.11,322.23,4,121.46,47.23,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.2,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,silty sand (SS: 5–20% silt and clay),S,mS,0,0,84.25,15.75,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,213,CI,NA,NA,NA,NA,NA,NA,403.24,242.91,4,267.21,115.92,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.3,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,muddy sand: 35–45% silt and clay,S,mS,0,0,54.75,45.25,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,15,CI,NA,NA,NA,NA,NA,NA,230.43,88.73,4,34.24,11.52,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.3,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,muddy sand: 35–45% silt and clay,S,mS,0,0,54.75,45.25,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,35,CI,NA,NA,NA,NA,NA,NA,434.78,106.48,4,63.96,11.49,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.3,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,muddy sand: 35–45% silt and clay,S,mS,0,0,54.75,45.25,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,63,CI,NA,NA,NA,NA,NA,NA,186.96,44.37,4,80.4,15.36,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.3,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,muddy sand: 35–45% silt and clay,S,mS,0,0,54.75,45.25,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,105,CI,NA,NA,NA,NA,NA,NA,526.09,204.08,4,91.95,7.69,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.3,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,muddy sand: 35–45% silt and clay,S,mS,0,0,54.75,45.25,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,213,CI,NA,NA,NA,NA,NA,NA,526.09,146.41,4,244.7,19.23,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.4,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,mud (M: > 55% silt and clay),M,sM,0,0,37.81,62.19,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,15,CI,NA,NA,NA,NA,NA,NA,623.17,306.11,4,116.87,62.14,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.4,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,mud (M: > 55% silt and clay),M,sM,0,0,37.81,62.19,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,35,CI,NA,NA,NA,NA,NA,NA,599.35,330.02,4,121.2,53.84,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.4,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,mud (M: > 55% silt and clay),M,sM,0,0,37.81,62.19,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,63,CI,NA,NA,NA,NA,NA,NA,641.01,286.97,4,228.48,99.41,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.4,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,mud (M: > 55% silt and clay),M,sM,0,0,37.81,62.19,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,105,CI,NA,NA,NA,NA,NA,NA,677.73,286.98,4,302.68,124.25,3,Dernie,2003,
"Dernie, K.M., Kaiser, & Warwick, R.M. 2003. Recovery rates of benthic communities following physical disturbance. Journal of Animal Ecology. 72: 1043-1056",18.4,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,mud (M: > 55% silt and clay),M,sM,0,0,37.81,62.19,Dug - no gear given,Dg,15.7,1,1,4,Undisturbed,Numbers,Macrofauna,Corer (10cm diameter depth of 10cm = 785.4cm3/0.000785m3),infauna,n,213,CI,NA,NA,NA,NA,NA,NA,839.73,349.16,4,652.22,285.79,3,Dernie,2003,
"Dernie, K.M., Kaiser, M.J., Richardson, E.A. & Warwick, R.M. 2003. Recovery of soft sediment communities and habitats following physical disturbance. Journal of Experimental Marine Biology and Ecology. 285-286: 415-434",17.1,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,extensive sand flat,S,S,0,0,98.91,1.09,Digging,Dg,15.7,1,2,4,Undisturbed,Numbers,Macrofauna,Corer,infauna,n,1,CI,NA,NA,NA,NA,NA,NA,522.17,0.51,5,99.69,0.31,5,Dernie,2003,
"Dernie, K.M., Kaiser, M.J., Richardson, E.A. & Warwick, R.M. 2003. Recovery of soft sediment communities and habitats following physical disturbance. Journal of Experimental Marine Biology and Ecology. 285-286: 415-434",17.1,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,extensive sand flat,S,S,0,0,98.91,1.09,Digging,Dg,15.7,1,2,4,Undisturbed,Numbers,Macrofauna,Corer,infauna,n,4,CI,NA,NA,NA,NA,NA,NA,497.67,0.48,5,130.51,0.45,5,Dernie,2003,
"Dernie, K.M., Kaiser, M.J., Richardson, E.A. & Warwick, R.M. 2003. Recovery of soft sediment communities and habitats following physical disturbance. Journal of Experimental Marine Biology and Ecology. 285-286: 415-434",17.1,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,extensive sand flat,S,S,0,0,98.91,1.09,Digging,Dg,15.7,1,2,4,Undisturbed,Numbers,Macrofauna,Corer,infauna,n,8,CI,NA,NA,NA,NA,NA,NA,481.64,0.42,5,138.59,0.26,5,Dernie,2003,
"Dernie, K.M., Kaiser, M.J., Richardson, E.A. & Warwick, R.M. 2003. Recovery of soft sediment communities and habitats following physical disturbance. Journal of Experimental Marine Biology and Ecology. 285-286: 415-434",17.1,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,extensive sand flat,S,S,0,0,98.91,1.09,Digging,Dg,15.7,1,2,4,Undisturbed,Numbers,Macrofauna,Corer,infauna,n,16,CI,NA,NA,NA,NA,NA,NA,474.68,0.39,5,209.7,0.45,5,Dernie,2003,
"Dernie, K.M., Kaiser, M.J., Richardson, E.A. & Warwick, R.M. 2003. Recovery of soft sediment communities and habitats following physical disturbance. Journal of Experimental Marine Biology and Ecology. 285-286: 415-434",17.1,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,extensive sand flat,S,S,0,0,98.91,1.09,Digging,Dg,15.7,1,2,4,Undisturbed,Numbers,Macrofauna,Corer,infauna,n,32,CI,NA,NA,NA,NA,NA,NA,553.06,0.21,5,299.78,0.57,5,Dernie,2003,
"Dernie, K.M., Kaiser, M.J., Richardson, E.A. & Warwick, R.M. 2003. Recovery of soft sediment communities and habitats following physical disturbance. Journal of Experimental Marine Biology and Ecology. 285-286: 415-434",17.1,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,extensive sand flat,S,S,0,0,98.91,1.09,Digging,Dg,15.7,1,2,4,Undisturbed,Numbers,Macrofauna,Corer,infauna,n,65,CI,NA,NA,NA,NA,NA,NA,632.32,0.28,5,706.98,0.28,5,Dernie,2003,
"Dernie, K.M., Kaiser, M.J., Richardson, E.A. & Warwick, R.M. 2003. Recovery of soft sediment communities and habitats following physical disturbance. Journal of Experimental Marine Biology and Ecology. 285-286: 415-434",17.1,Anglesey,Northern Europe,I,0,11.43,126.75,2568.81,extensive sand flat,S,S,0,0,98.91,1.09,Digging,Dg,15.7,1,2,4,Undisturbed,Numbers,Macrofauna,Corer,infauna,n,117,CI,NA,NA,NA,NA,NA,NA,622.59,0.21,5,589.17,0.36,5,Dernie,2003,
